"Status","Year","Profession_of_post","Responsibility_level","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Security","AA/AO","Female","860","820","25220","21830"
"In post","2022","Security","AA/AO","Male","4730","4640","27330","23540"
"In post","2022","Security","EO","Female","350","330","29490","27570"
"In post","2022","Security","EO","Male","700","690","35800","33520"
"In post","2022","Security","G6/G7","Female","160","160","58320","56860"
"In post","2022","Security","G6/G7","Male","350","350","59570","58430"
"In post","2022","Security","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Security","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Security","SEO/HEO","Female","720","700","37740","36500"
"In post","2022","Security","SEO/HEO","Male","1190","1170","40380","38160"
"In post","2022","Security","Unknown","Female","50","40","[c]","[c]"
"In post","2022","Security","Unknown","Male","140","140","31800","28280"
"In post","2022","Social Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","EO","Female","40","40","[c]","[c]"
"In post","2022","Social Research","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","G6/G7","Female","240","230","57390","57290"
"In post","2022","Social Research","G6/G7","Male","120","120","57970","57190"
"In post","2022","Social Research","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","SEO/HEO","Female","620","590","36560","37610"
"In post","2022","Social Research","SEO/HEO","Male","240","240","36200","37380"
"In post","2022","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","AA/AO","Female","40","40","[c]","[c]"
"In post","2022","Statistics","AA/AO","Male","30","30","[c]","[c]"
"In post","2022","Statistics","EO","Female","100","90","28150","28310"
"In post","2022","Statistics","EO","Male","150","150","27980","27850"
"In post","2022","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","G6/G7","Female","380","350","57590","56500"
"In post","2022","Statistics","G6/G7","Male","390","390","58790","59220"
"In post","2022","Statistics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","SCS","Male","30","30","[c]","[c]"
"In post","2022","Statistics","SEO/HEO","Female","560","530","37200","37610"
"In post","2022","Statistics","SEO/HEO","Male","690","680","37520","37830"
"In post","2022","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Tax","AA/AO","Female","1820","1660","21370","21250"
"In post","2022","Tax","AA/AO","Male","1580","1520","21340","21250"
"In post","2022","Tax","EO","Female","2400","2200","27450","26820"
"In post","2022","Tax","EO","Male","2410","2340","27340","26820"
"In post","2022","Tax","G6/G7","Female","1170","1110","58980","55210"
"In post","2022","Tax","G6/G7","Male","1840","1770","59750","55210"
"In post","2022","Tax","SCS","Female","40","40","[c]","[c]"
"In post","2022","Tax","SCS","Male","40","40","[c]","[c]"
"In post","2022","Tax","SEO/HEO","Female","3870","3640","36050","33370"
"In post","2022","Tax","SEO/HEO","Male","4440","4310","36140","33370"
"In post","2022","Unknown","AA/AO","Female","2490","2280","22820","22140"
"In post","2022","Unknown","AA/AO","Male","2350","2280","23400","22140"
"In post","2022","Unknown","EO","Female","3040","2900","27930","27230"
"In post","2022","Unknown","EO","Male","2400","2370","28340","27500"
"In post","2022","Unknown","G6/G7","Female","4250","4080","61140","61190"
"In post","2022","Unknown","G6/G7","Male","3850","3810","62330","62120"
"In post","2022","Unknown","SCS","Female","540","520","92280","83230"
"In post","2022","Unknown","SCS","Male","680","680","100770","93000"
"In post","2022","Unknown","SEO/HEO","Female","6960","6720","36610","35540"
"In post","2022","Unknown","SEO/HEO","Male","5680","5620","37290","36130"
"In post","2022","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","G6/G7","Female","70","60","54600","54280"
"In post","2022","Veterinarian","G6/G7","Male","70","70","55710","54510"
"In post","2022","Veterinarian","SCS","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SCS","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SEO/HEO","Female","160","140","39360","37480"
"In post","2022","Veterinarian","SEO/HEO","Male","100","100","40470","37910"
"Leaver CS","2021","Commercial","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Commercial","SEO/HEO","Male","50","50","37630","37250"
"Leaver CS","2021","Commercial","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Female","70","70","36210","35500"
"Leaver CS","2021","Communications","SEO/HEO","Male","40","40","[c]","[c]"
"Leaver CS","2021","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Counter Fraud","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","Male","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","EO","Male","60","50","27590","26710"
"Leaver CS","2021","Digital, Data and Technology","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","Female","30","30","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","Male","90","80","59490","57680"
"Leaver CS","2021","Digital, Data and Technology","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","Female","60","60","37990","38280"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","Male","130","130","37980","38000"
"Leaver CS","2021","Digital, Data and Technology","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Digital, Data and Technology","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","AA/AO","Male","40","40","[c]","[c]"
"Leaver CS","2021","Economics","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Economics","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","G6/G7","Male","40","40","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Female","50","50","[c]","[c]"
"Leaver CS","2021","Finance","SEO/HEO","Male","60","60","40870","39890"
"Leaver CS","2021","Finance","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Female","40","30","[c]","[c]"
"Leaver CS","2021","Human Resources","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Female","40","40","[c]","[c]"
"Leaver CS","2021","Human Resources","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","SEO/HEO","Female","70","70","38780","38770"
"Leaver CS","2021","Human Resources","SEO/HEO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Human Resources","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Inspector of Education and Training","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Intelligence Analysis","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Internal Audit","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","International Trade","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Knowledge and Information Management","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","G6/G7","Female","130","110","58930","55610"
"Leaver CS","2021","Legal","G6/G7","Male","110","100","58300","55610"
"Leaver CS","2021","Legal","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Legal","SEO/HEO","Female","90","70","41040","42460"
"Leaver CS","2021","Legal","SEO/HEO","Male","40","40","[c]","[c]"
"Leaver CS","2021","Medicine","AA/AO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Medicine","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","EO","Female","40","30","[c]","[c]"
"Leaver CS","2021","Medicine","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","G6/G7","Female","30","20","[c]","[c]"
"Leaver CS","2021","Medicine","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","SEO/HEO","Female","50","40","38210","37890"
"Leaver CS","2021","Medicine","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Medicine","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","AA/AO","Female","2580","2240","20520","20470"
"Leaver CS","2021","Operational Delivery","AA/AO","Male","2620","2400","20870","20690"
"Leaver CS","2021","Operational Delivery","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","EO","Female","590","520","26460","26410"
"Leaver CS","2021","Operational Delivery","EO","Male","690","610","28220","27000"
"Leaver CS","2021","Operational Delivery","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","G6/G7","Female","120","120","58120","56290"
"Leaver CS","2021","Operational Delivery","G6/G7","Male","150","140","61030","58230"
"Leaver CS","2021","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","SEO/HEO","Female","390","350","35490","33840"
"Leaver CS","2021","Operational Delivery","SEO/HEO","Male","460","420","39390","38160"
"Leaver CS","2021","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","Female","450","390","[c]","[c]"
"Leaver CS","2021","Operational Delivery","Unknown","Male","160","140","[c]","[c]"
"Leaver CS","2021","Operational Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Operational Research","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","AA/AO","Female","280","250","20900","20920"
"Leaver CS","2021","Other","AA/AO","Male","210","200","20560","20180"
"Leaver CS","2021","Other","EO","Female","120","110","25680","26670"
"Leaver CS","2021","Other","EO","Male","310","300","27750","29100"
"Leaver CS","2021","Other","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","G6/G7","Male","40","40","[c]","[c]"
"Leaver CS","2021","Other","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","SCS","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","SEO/HEO","Female","140","130","35870","36960"
"Leaver CS","2021","Other","SEO/HEO","Male","170","160","35280","34340"
"Leaver CS","2021","Other","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Other","Unknown","Male","160","160","36220","33270"
"Leaver CS","2021","Planning","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Planning Inspectors","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","AA/AO","Female","50","40","[c]","[c]"
"Leaver CS","2021","Policy","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","EO","Female","80","70","24650","26550"
"Leaver CS","2021","Policy","EO","Male","50","50","[c]","[c]"
"Leaver CS","2021","Policy","G6/G7","Female","120","110","58350","55660"
"Leaver CS","2021","Policy","G6/G7","Male","150","140","59660","57600"
"Leaver CS","2021","Policy","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Policy","SCS","Female","40","30","[c]","[c]"
"Leaver CS","2021","Policy","SCS","Male","40","30","[c]","[c]"
"Leaver CS","2021","Policy","SEO/HEO","Female","140","130","36650","36720"
"Leaver CS","2021","Policy","SEO/HEO","Male","150","150","36770","36790"
"Leaver CS","2021","Policy","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","Female","50","40","[c]","[c]"
"Leaver CS","2021","Project Delivery","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","G6/G7","Female","40","30","[c]","[c]"
"Leaver CS","2021","Project Delivery","G6/G7","Male","60","50","57190","54990"
"Leaver CS","2021","Project Delivery","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","SEO/HEO","Female","90","80","34850","33630"
"Leaver CS","2021","Project Delivery","SEO/HEO","Male","130","130","38320","39250"
"Leaver CS","2021","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Project Delivery","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Property","AA/AO","Male","50","40","[c]","[c]"
"Leaver CS","2021","Property","EO","Female","50","40","25830","26000"
"Leaver CS","2021","Property","EO","Male","90","80","26060","25500"
"Leaver CS","2021","Property","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Male","40","30","[c]","[c]"
"Leaver CS","2021","Property","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Property","SEO/HEO","Male","110","100","38360","37210"
"Leaver CS","2021","Property","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Property","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","AA/AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","AA/AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","EO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Psychology","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Psychology","SEO/HEO","Female","50","40","[c]","[c]"
"Leaver CS","2021","Psychology","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","AA/AO","Female","110","100","20830","20230"
"Leaver CS","2021","Science and Engineering","AA/AO","Male","120","120","19850","20150"
"Leaver CS","2021","Science and Engineering","EO","Female","40","40","[c]","[c]"
"Leaver CS","2021","Science and Engineering","EO","Male","70","70","24470","25190"
"Leaver CS","2021","Science and Engineering","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","G6/G7","Female","40","30","[c]","[c]"
"Leaver CS","2021","Science and Engineering","G6/G7","Male","50","40","[c]","[c]"
"Leaver CS","2021","Science and Engineering","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","SCS","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","SCS","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","SEO/HEO","Female","120","110","35830","35160"
"Leaver CS","2021","Science and Engineering","SEO/HEO","Male","220","200","36150","36330"
"Leaver CS","2021","Science and Engineering","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Science and Engineering","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2021","Security","AA/AO","Female","40","40","[c]","[c]"
